"TurnId","OrderNo","ItemNo","Direction1","Distance1","Direction2","Distance2","Direction3","Distance3"
"306EJan1809","22","","","","","","",""
"306EJan1809","23","","","","","","",""
"306EJan1809","24","","","","","","",""
"306EJan1809","25","","","","","","",""
"306EJan1809","26","","","","","","",""
"306EJan1809","27","","","","","","",""
"306EJan1809","28","","","","","","",""
"306EJan1809","29","","","","","","",""
"306EJan1809","30","","","","","","",""
"306EJul1808","1","","","","","","",""
"306EJul1808","2","","","","","","",""
"306EJul1808","3","","","","","","",""
"306EJul1808","4","","","","","","",""
"306EJul1808","5","","","","","","",""
"306EJul1808","6","","","","","","",""
"306EJul1808","7","","","","","","",""
"306EJul1808","8","","","","","","",""
"306EJul1808","9","","","","","","",""
"306EJul1808","10","4131","8","1","","","",""
"306EJul1808","11","4134","3","1","","","",""
"306EJul1808","12","4161","1","1","","","",""
"306EJul1808","13","4215","3","1","","","",""
"306EJul1808","14","4135","7","2","","","",""
"306EJul1808","15","","","","","","",""
"306EJul1808","16","","","","","","",""
"306EJul1808","17","","","","","","",""
"306EJul1808","18","","","","","","",""
"306EJul1808","19","","","","","","",""
"306EJul1808","20","","","","","","",""
"306EJul1808","21","","","","","","",""
"306EJul1808","22","","","","","","",""
"306EJul1808","23","","","","","","",""
"306EJul1808","24","","","","","","",""
"306EJul1808","25","","","","","","",""
"306EJul1808","26","","","","","","",""
"306EJul1808","27","","","","","","",""
"306EJul1808","28","4128","5","1","","","",""
"306EJul1808","29","4215","3","1","","","",""
"306EJul1808","30","4304","6","2","5","1","",""
"306EJun1808","1","","","","","","",""
"306EJun1808","2","","","","","","",""
"306EJun1808","3","","","","","","",""
"306EJun1808","4","","","","","","",""
"306EJun1808","5","","","","","","",""
"306EJun1808","6","","","","","","",""
"306EJun1808","7","","","","","","",""
"306EJun1808","8","","","","","","",""
"306EJun1808","9","","","","","","",""
"306EJun1808","10","","","","","","",""
"306EJun1808","11","","","","","","",""
"306EJun1808","12","","","","","","",""
"306EJun1808","13","","","","","","",""
"306EJun1808","14","","","","","","",""
"306EJun1808","15","","","","","","",""
"306EJun1808","16","","","","","","",""
"306EJun1808","17","","","","","","",""
"306EJun1808","18","","","","","","",""
"306EJun1808","19","","","","","","",""
"306EJun1808","20","","","","","","",""
"306EJun1808","21","","","","","","",""
"306EJun1808","22","","","","","","",""
"306EJun1808","23","","","","","","",""
"306EJun1808","24","","","","","","",""
"306EJun1808","25","","","","","","",""
"306EJun1808","26","","","","","","",""
"306EJun1808","27","","","","","","",""
"306EJun1808","28","","","","","","",""
"306EJun1808","29","","","","","","",""
"306EJun1808","30","","","","","","",""
"306EMar1808","1","1062","3","6","4","18","3","5"
"306EMar1808","2","","","","","","",""
"306EMar1808","3","","","","","","",""
"306EMar1808","4","","","","","","",""
"306EMar1808","5","","","","","","",""
"306EMar1808","6","","","","","","",""
"306EMar1808","7","","","","","","",""
"306EMar1808","8","","","","","","",""
"306EMar1808","9","","","","","","",""
"306EMar1808","10","","","","","","",""
"306EMar1808","11","","","","","","",""
"306EMar1808","12","","","","","","",""
"306EMar1808","13","","","","","","",""
"306EMar1808","14","","","","","","",""
"306EMar1808","15","","","","","","",""
"306EMar1808","16","","","","","","",""
"306EMar1808","17","","","","","","",""
"306EMar1808","18","","","","","","",""
"306EMar1808","19","","","","","","",""
"306EMar1808","20","","","","","","",""
"306EMar1808","21","","","","","","",""
"306EMar1808","22","","","","","","",""
"306EMar1808","23","","","","","","",""
"306EMar1808","24","","","","","","",""
"306EMar1808","25","","","","","","",""
